ID,text,target,stance,stance:confidence,against_reason,favor_reason,none_reason,sarcasm,sarcasm:confidence,sentiment,sentiment:confidence,datetime,Date
13,"واختتم د. أحمد بن حماد الكلباني عميد أكاديمية الامن الالكتروني المتقدم ورقة عمل ""الابتكار في تعزيز الجاهزية للأمن الالكتروني"" تناولت الورقة طرق تسريع وتيرة التحول الرقمي الاقتصاد مع اعتماد تكنولوجيا المعلومات والاتصالات الرائدة التقنيات URL",Digital Transformation,Favor,0.7303,,F_Explicit,,No,1,Neutral,0.7771,2022-03-30 10:27:31+00:00,30/03/2022
15,تم تطعيم الجرعة الاولى من لقاح pfizer اليوم . شكراً على جهودكم بالتوعية و الله يكثر من امثالكم و يعطيكم العافية .    ,Covid Vaccine,Favor,1,,F_Explicit,,No,1,Positive,1,2021-06-23 05:47:24+00:00,23/06/2021
18,كل ما افتكر إني مضطرة اخد تطعيم كورونا تاني قلبي يتقبض,Covid Vaccine,Against,0.7526,A_Explicit,,,No,1,Negative,0.8574,2022-05-02 20:48:10+00:00,02/05/2022
19,كفل النظام الاساسي حق التقاضي لكافة من يعيش على هذه الارض الطيبة. وعلى نهج التحول الالكتروني في السلطنة تم إطلاق منصة الكترونية خاصة بالمحاكم بغرض تسهيل اجراءات التقاضي. ولكن ننصدم بالصعوبات اليومية المتكررة في المنصة  فأصبح هذا النظام الالكتروني عائقا يحول دون هذا الحق الدستوري.,Digital Transformation,Against,0.8258,A_Explicit,,,No,1,Negative,0.5509,2020-11-18 13:50:23+00:00,18/11/2020
20,#السديس يؤكد تفعيل التحول الإلكتروني في جميع تعاملات الرئاسة URL,Digital Transformation,None,0.5279,,,Not clear,No,1,Neutral,1,2020-04-11 21:59:14+00:00,11/04/2020
21,باعتقادك هل تؤثر الإمبريالية في عملية إحلال الإجراءات التراتيبية التسلسلية التي تقوّض عملية تقديم الخدمة للعملاء من قبل مأموري سعادة المتعاملين؟ و هل التحول الالكتروني أسهم في تسهيل و تقصير رحلة المتعامل؟ ومن منظورك الشخصي..هل لمؤشرات الأداء دور رقابي على الخدمة نفسها أم مقدميها؟,Digital Transformation,None,1,,,Not clear,No,1,Neutral,1,2021-04-06 10:02:18+00:00,06/04/2021
22, وين تمكين المرأة؟,Women empowerment,None,0.7385,,,Not clear,No,1,Negative,0.5166,2022-04-18 13:11:14+00:00,18/04/2022
23, يامستشارين الصحه : اللي جته كورونا المفروض يصير عنده مناعه مثل اي مرض فيروسي يصيب الانسان ومع ذلك تقولون ياخذ تطعيم كورونا ! بعد التطعيم هل تجيه كورونا ؟ تقولون ممكن !؟ التطعيم للابد ؟ تقولون لا سنه بالكثير وينتهي المفعول ؟ هل من اجابه علميه حقيق,Covid Vaccine,Against,0.7252,A_Explicit,,,No,1,Negative,0.6281,2021-03-27 03:41:42+00:00,27/03/2021
24,  اللي جته كورونا المفروض يصير عنده مناعه مثل اي مرض فيروسي يصيب الانسان ومع ذلك تقولون ياخذ تطعيم كورونا ! بعد التطعيم هل تجيه كورونا ؟ تقولون ممكن !؟ التطعيم للابد ؟ تقولون لا سنه بالكثير وينتهي المفعول ؟ هل من اجابه علميه حقيقيه تنورون,Covid Vaccine,Against,0.8527,A_Explicit,,,No,1,Negative,0.5804,2021-03-27 22:19:01+00:00,27/03/2021
25,  اللي جته كورونا المفروض يصير عنده مناعه مثل اي مرض فيروسي يصيب الانسان ومع ذلك تقولون ياخذ تطعيم كورونا ! بعد التطعيم هل تجيه كورونا ؟ تقولون ممكن !؟ التطعيم للابد ؟ تقولون لا سنه بالكثير وينتهي المفعول ؟ هل من اجابه علميه حقيقيه,Covid Vaccine,Against,1,A_Explicit,,,No,1,Negative,0.5904,2021-03-27 22:21:16+00:00,27/03/2021
26,    كلامك غير صحيح   وهناك أجانب يستلمون ٥٠ و ١٠٠ ألف في الشهر ! وهذا تخصصه مطلوب ومهم في القطاع العام والخاص خصوصاً مع التحول للتعامل الالكتروني  أنا أتعجب اذا هذا ما لقى وظيفة أجل وشلون حال أصحاب أهل الاخصصات النظر,Digital Transformation,None,0.583,,,Not clear,No,1,Neutral,0.566,2020-08-21 01:52:58+00:00,21/08/2020
28,#افضل_الممارسات_في_التعلم_الالكتروني استراتيجيات التدريس في #التعليم_الالكتروني  الطريقة التي يمكن ان نقدم البرامج التعليمية للطلاب في أي وقت و أي مكان باستخدام تقنية المعلومات والاتصالات التفاعلية  #تقنيات_التعليم #التعلم_عن_بعد #حول_عالتقنية  #التحول_الرقمي URL,Digital Transformation,Favor,1,,F_Explicit,,No,1,Neutral,0.5934,2020-03-25 23:36:13+00:00,25/03/2020
29,  و كذلك التحول الالكتروني و الاستعداد له   قلة المصروفات التي تقع على كاهل كل منا حيث التسوق اليومي   اكتشاف المواهب و الهوايات و غير ذلك,Digital Transformation,Favor,1,,F_Explicit,,No,1,Positive,0.4684,2020-03-30 18:41:39+00:00,30/03/2020
30,هناك من عاصر زمن تحرير السود من العبودية  وهناك من عاصر زمن تمكين المرأة واعطائها كامل حقوقها  وشاء الله أن يكون زماننا زمن اعطاء الشواذ حقوقهم وهو الأسوأ حتى الآن  أتمنى ألا تطول صولتهم,Women empowerment,None,0.3933,,,Not clear,No,0.8685,Negative,0.4337,2022-04-05 04:55:39+00:00,05/04/2022
31, التحول الالكتروني للمعاملات الحكومية يحتاج الى تجهيز كامل للعناصر اللوجستية .. هيئة بريد فعّالة  قرارات جريئة للتخلص من الاكشاك والطباعين  تفعيل العناوين المطابقة للسكن الفعلي على البطاقات المدنية  الخ. ولنا في مملكة البحرين خير مثل للتحول ا,Digital Transformation,Favor,0.622,,F_Explicit,,No,1,Neutral,0.628,2020-05-19 07:57:22+00:00,19/05/2020
33, نررررفض تطعيم بناتنا ياوزارة الصحه.. كفايه اجبرتونا على لقاح كورونا وصدقناكم,Covid Vaccine,Against,1,A_Explicit,,,No,1,Negative,1,2022-05-19 10:11:28+00:00,19/05/2022
35,وأخيرًا خذت الجرعة التنشيطية .. الحمدلله 🙏🏼,Covid Vaccine,Favor,1,,F_Explicit,,No,1,Positive,1,2021-08-07 07:53:10+00:00,07/08/2021
37, تطلبون التحول الالكتروني  هذا هو,Digital Transformation,None,0.6138,,,Not clear,No,1,Neutral,1,2022-01-20 07:36:55+00:00,20/01/2022
38,بتبرع كريم من شركة القدس للتأمين وكجزء من مسؤوليتهم المجتمعية تجاه السيدات ولدعم تمكين المرأة دربنا عدد من السيدات على أساسيات الخياطة في مشروع أرزاق. #JHCO #تمكين #تدريب URL,Women empowerment,Favor,0.622,,F_Explicit,,No,1,Positive,0.5096,2022-04-23 12:11:43+00:00,23/04/2022
39, التحول الالكتروني وفر وقت وجهد وكل شيء ❤️,Digital Transformation,Favor,1,,F_Explicit,,No,1,Positive,1,2021-11-09 09:28:01+00:00,09/11/2021
40,لايخدعونك   بكذبة تمكين المرأة!.,Women empowerment,Against,1,A_Explicit,,,No,1,Negative,1,2022-01-30 07:24:37+00:00,30/01/2022
41,  اشباه الرجال حالهم ما يسر منضغطين من بعد تمكين المرأة,Women empowerment,Favor,0.845,,F_Explicit,,Yes,0.6154,Negative,0.8245,2021-04-20 21:47:38+00:00,20/04/2021
42,  عرف من وين يمسكهم يشوف الجدل وين ويشتغل عليه شاف جدلهم على تمكين المرأه وحجابها وشد حيله باقي شوي ويلبس عباية راس وقفاز عشان ينال اعجابهم ورضاهم,Women empowerment,Against,1,A_Explicit,,,No,0.6766,Negative,0.84,2022-04-28 18:52:11+00:00,28/04/2022
43, 62 مليون كتاب !! اين التحول الالكتروني للمناهج ؟ كمية هدر سنوي للكتب مؤسفة نتمنى احلال الاجهزة اللوحية بدلاً من الكتب,Digital Transformation,Favor,0.8067,,F_Explicit,,No,1,Negative,1,2020-12-22 11:52:04+00:00,22/12/2020
44,  مو كل اللي ماطعموا جتهم كورونا انا من فضل الله لا كورونا ولا تطعيم الحمدلله يارب🤝,Covid Vaccine,None,0.7334,,,Not clear,No,0.8148,Neutral,0.5927,2022-04-18 00:00:34+00:00,18/04/2022
45,  شبكات دْعارة في البلد بشكل مهول كانو ينتظرون قرار تمكين المرأة بفارغ الصبر,Women empowerment,Against,1,A_Explicit,,,No,1,Negative,1,2022-05-13 20:36:18+00:00,13/05/2022
46,أعلنت وزارة التجارة والصناعة وترويج الاستثمار عن إلزام 8 أنشطة تجارية بتوفير خدمة الدفع الإلكتروني للمستهلكين  سعيًا لتحقيق التحول الرقمي في السلطنة تماشيًا مع رؤية عمان 2040. URL,Digital Transformation,Favor,1,,F_Explicit,,No,1,Neutral,0.6393,2021-07-26 13:14:04+00:00,26/07/2021
47,🇴🇲 تبدأ سلطنة #عُمان مطلع العام المقبل بإذن الله تطبيق قرار إلزامية الدفع الإلكتروني لجميع الأنشطة التجارية في خطوة مهمة نحو التحول الرقمي الشامل..  URL,Digital Transformation,Favor,1,,F_Explicit,,No,1,Neutral,0.5336,2021-11-29 13:50:00+00:00,29/11/2021
48,والله بنات انا مع تمكين المرأة واحاول ادعمكم بس انتو كمان ساعدونا ندعمكم  ليه لما اكون مع موظفة  الموضوع ياخذ مني اسبوعين ولما اكون مع موظف ياخذ مني نص ساعة؟؟؟,Women empowerment,Favor,1,,F_Explicit,,No,0.8412,Negative,0.4491,2022-04-25 15:48:31+00:00,25/04/2022
49,"  لو اخوانك انفصلو من اعمالهم وحطو بدالهم حريم تحت بند ""تمكين المراه"" راح تفهمي تغريده الاخ تركي ..  كثير شباب اعرفهم طلقو زوجاتهم والسبب الفصل الجائر .. وعدم وجود وظائف يمكن ماتشوفين ذا الشي بعينك ولا يهمك  لكن بكره بتشوفي نتائجه ",Women empowerment,Against,1,A_Explicit,,,No,1,Negative,1,2022-04-19 00:12:18+00:00,19/04/2022
50,"ما هذا  الإصرار على إعطاء تطعيمات غير آمنه ليس هناك ضمان من خلالها ،!! توجه غريب من قبل بعض الجهات الحكومية والخاصة لفرض التطعيم !! كثير من الناس مطبقين الشروط الصحية ولا يحتاجون هالفرض! هناك دستور وقانون كفل لنا الإختيار !  #تطعيم_كورونا #الكويت #وزارة_الصحة",Covid Vaccine,Against,1,A_Explicit,,,No,1,Negative,1,2021-04-25 23:23:15+00:00,25/04/2021
51,المسلسل التركي اللي بديت اشوفه بعد انقطاع طويل عن المسلسلات التركيه بس وربي اني انتظر الثلاثاء بفارغ الصبر عشانه .. احب تمكين المرأه اللي بالمسلسل واحب القصه وكل شي 😭😭😭😭 واحب باتوغا هففف جايب راسي URL,Women empowerment,Favor,1,,F_Explicit,,No,0.7997,Positive,0.7823,2022-04-07 00:04:10+00:00,07/04/2022
52,"أبلغت الدنمارك عن أكثر من 5 آلاف إصابة جديدة بفايروس كورونا رغم تطعيم 87% من السكان ""بشكل كامل""",Covid Vaccine,Against,0.7364,A_Explicit,,,No,1,Neutral,0.5095,2021-12-01 22:20:36+00:00,01/12/2021
53,في ظل انتشار #كورونا حاليا الفرصة ذهبية للعمل بجدية على إلغاء المعاملات الورقية والمعاملات التي تتطلب وجود الأشخاص المطلوبين في أماكن معينة لاجراءها وذلك عن طريق التحول الالكتروني والتحول لبيئة يمكن فيها العمل عن بعد لأكبر عدد من الموظفين,Digital Transformation,Favor,0.8418,,F_Explicit,,No,1,Positive,0.873,2020-03-14 18:18:21+00:00,14/03/2020
54,يا قلبي على تمكين المرأة.. بكى والله 💔💔💔 URL,Women empowerment,Favor,0.423,,F_Explicit,,No,0.6672,Positive,0.3588,2022-04-19 13:16:36+00:00,19/04/2022
55,لا حول ولا قوة الا بالله  كلنا ندري من اللي سمح لكل مجرم انه يتجرأ و يرتكب جريمة يقشعر لها البدن ! قال لك تمكين المراة قال !!! URL,Women empowerment,Against,1,A_Explicit,,,No,0.7329,Negative,0.8808,2022-04-03 18:49:10+00:00,03/04/2022
56,ليش تمكين المرأة ما جاء الا مع الغلاء 😮‍💨,Women empowerment,Against,1,A_Explicit,,,No,0.8086,Negative,0.8086,2022-05-12 12:33:30+00:00,12/05/2022
57,كما بدأت جامعة طرابلس شراكة مع منصة Coursera  وأطلقت كلية تقنية المعلومات منصة إلكترونية لطلبتها.   لكن تظل مشاكل الكهرباء والإنترنت من أبرز التحديات التي تواجه التحول لهذا الاتجاه!  - شاركنا برأيك حول مستقبل التعليم الإلكتروني في ليبيا.,Digital Transformation,None,0.614,,,Not clear,No,1,Neutral,0.6596,2020-11-02 20:48:24+00:00,02/11/2020
58,""" المرأة هي مصدر التطور لأي مجتمع، فمن غير تمكين المرأة من الصعب اصلاح المجتمع."" #يوم_المراه_العالمي 🤍",Women empowerment,Favor,1,,F_Explicit,,No,1,Positive,1,2021-03-08 08:20:46+00:00,08/03/2021
59, تمكين المرأة ♥️ تصرف علي وانا نايم بالبيت,Women empowerment,Against,0.7814,A_Explicit,,,Yes,1,Neutral,0.4131,2022-05-17 22:17:27+00:00,17/05/2022
60,تمكين المراة ما جاب لنا خير والله  لكم ان تتخيلوا ان لي ساعة ادور إحرام بالطايف بعد ما كان يباع في كل مكان,Women empowerment,Against,1,A_Explicit,,,No,1,Negative,1,2022-04-25 21:26:02+00:00,25/04/2022
61,MENTION يقولك تنشيطية ثالثة كافية  وبعد سنة بتطلع أخبار عن الرابعة وتشوفهم يقولون أثبتت الدراسات أن الجرعة التنشيطية الرابعة تحمي أصحاب الأمراض المزمنة وذوي المناعة الضعيفة 😜 URL,Covid Vaccine,Against,0.5303,A_Explicit,,,Yes,0.5969,Negative,1,2021-09-26 11:23:44+00:00,26/09/2021
63,"""استثمر بسهولة"" زاد من توجه المستثمرين للخدمات الالكترونية  بما يسهل حركة السلع الصادرة والواردة من والى السلطنة..   التحول الالكتروني في أي مجال يسهم بلا شك في تطويره وسهولته .. لا بديل عن الحكومة الذكية والتركيز عليها بشكل كبير جداً لمعانقة الطموحات  #عمان_تحتاج_افكاركم URL",Digital Transformation,Favor,1,,F_Explicit,,No,1,Neutral,1,2021-08-15 02:10:52+00:00,15/08/2021
66,حاطة هاشتاق #تمكين_المرأة وهي تهين المرأة بنفس التغريدة,Women empowerment,Against,0.7447,A_Explicit,,,No,0.8271,Negative,0.8034,2022-05-14 16:34:30+00:00,14/05/2022
67, دكتور محمد لماذا لا يتم  تفعيل وسائل الدفع الالكتروني او التحول إلى اقتصاد غير نقدي حاليا يوجد اقتصاديين ظاهر وباطن فإذا لم يسمح بالتعامل بالنقد سوف يصبح الجميع يعملون في نطاق نظام واحد وباذن اذا تم تطبيق التعامل عن طريق الدفع الالكتروني  لجميع ,Digital Transformation,Favor,0.7288,,F_Explicit,,No,1,Neutral,0.7228,2020-09-13 18:13:36+00:00,13/09/2020
68,    الله يهدي الجميع اتوقع يقصد جرعة تطعيم كورونا,Covid Vaccine,None,0.5812,,,Not clear,No,1,Neutral,0.7127,2022-04-12 22:56:18+00:00,12/04/2022
69,ولله الحمد  أخذنا لقاح فايزر تطعيم 💉 الله ينفع به البلاد والعباد يارب 🤲🏻🙏 شكراً للحكومة 🇸🇦💚 شكراً وزارة الصحة,Covid Vaccine,Favor,1,,F_Explicit,,No,1,Positive,1,2021-04-22 22:02:42+00:00,22/04/2021
70, لن الهدف هو تطعيم اما كورونا ومتحورات وسيله ومبرر لتلقيحك بالغصب,Covid Vaccine,Against,1,A_Explicit,,,No,1,Negative,1,2022-04-08 21:18:07+00:00,08/04/2022
71,     اخوان /يجب التحول الى الدفع الالكتروني في الوزرات الحكومية.   اي عمليه دفع  حتى لو ١٠ دنانير  تروح مباشرة لخزينة الدوله.   هاي الخطوة فقط راح تقطع ٩٠٪ من الفساد و السرقة.   💥حتى لا يصير ارباك و خربطة  ابدأ في وزار,Digital Transformation,Favor,1,,F_Explicit,,No,1,Positive,0.6678,2022-02-24 07:11:34+00:00,24/02/2022
72,جاني القرف من شعارات تمكين المرأة و رزرزة سيدات الطبقة المخملية مثل ديكور يتجدد..اسطوانة منذ 2016,Women empowerment,Against,1,A_Explicit,,,No,0.8081,Negative,0.8312,2022-04-13 22:58:24+00:00,13/04/2022
73,تمكين المرأة يجب أن لايكون على حساب الرجل,Women empowerment,Against,0.7042,A_Explicit,,,No,1,Negative,0.6474,2022-04-23 16:22:54+00:00,23/04/2022
74,  تبون خلاصة الكلام مع الحريم   ( اجعلوا  تطعيم كورونا شرط لدخول المولات ) وسوف تشوفونهم يتسابقون على التطعيم,Covid Vaccine,Favor,0.8223,,F_Explicit,,Yes,0.854,Neutral,1,2021-04-20 13:21:08+00:00,20/04/2021
75, التحول الرقمي إذا تم كما يريدون فلن يكون هناك إستقلال للفرد ستعود العبودية بغلاف رقمي,Digital Transformation,Against,0.8015,A_Explicit,,,No,1,Negative,1,2021-10-07 04:42:46+00:00,07/10/2021
76,#تمكين_المرأة من وجهة نظر الديناصورات 🦖 URL,Women empowerment,None,0.7385,,,Not clear,Yes,0.8556,Neutral,0.6559,2022-04-21 17:42:55+00:00,21/04/2022
77, يقولون ابرتها حاارة وتعور اكثر من تطعيم كورونا بعد,Covid Vaccine,Against,0.7314,A_Explicit,,,No,0.8166,Negative,0.8166,2022-05-08 11:54:33+00:00,08/05/2022
78, اعانكم الله وسددكم   وعلى دروب الخير وفقكم الله في مهمتكم الجليله والساميه في ظل التحول الإلكتروني الذي احدث نقلةً نوعيةً متطوره تواكب تطلعات قيادتنا الرشيدة لما فيه خير المواطن والمقيم .,Digital Transformation,Favor,1,,F_Explicit,,No,1,Positive,1,2020-11-10 18:39:08+00:00,10/11/2020
80,كذبه لن يصدقها نفسه جيتس خبر عن إصابة  بيل جيتس بفيروس كورونا ❗❗❗❗⁉️⚠️ واضح أنها كذبه وزيل لموجه جديده في الطريق = جرعات تطعيم جديده سهله المعادله اهوو😁 URL,Covid Vaccine,Against,0.4165,A_Explicit,,,No,0.5091,Negative,0.6365,2022-05-11 20:38:29+00:00,11/05/2022
81,  السلام عليكم متى عمل مركز تطعيم كورونا في الظهران ؟,Covid Vaccine,None,1,,,Not clear,No,1,Neutral,1,2022-04-09 22:34:14+00:00,09/04/2022
82, اعتقد لو تتكاتف البلدية مع الجهات المختصة الاخرى بتشجيع التسوق الالكتروني وتخفيض اسعارها هناك كان بيكون احد اهم ركائز التحول الايجابي لصالح الجميع ومنهاسوف نخفف التزاحم بالمراكز و نفرض الامن والسلامة من الجائحة و توفر اعمال جديدة للجميع و تخف,Digital Transformation,Favor,1,,F_Explicit,,No,1,Neutral,0.4464,2020-07-07 00:54:54+00:00,07/07/2020
83,  تمكين المرأه صارت فساد ؟؟ يبون يعزونك و يرفعونك عن الحاجة و انتي تقولين فساد ! عجيب تفكير البعض,Women empowerment,Favor,1,,F_Explicit,,No,1,Negative,0.4988,2021-01-15 17:06:52+00:00,15/01/2021
84,(عصر تمكين المرأة) هو عصر النشوز والطلاق هو عصر الاهالي السذج الذين ركبوا الموجة  يخببون بناتهم على ازواجهم ويفسدون حياتهم. سنوات قليلة وتصبح المرأة السعودية كالغربية  بلا اسرة ولا زوج ولا حقوق وتربي الابناء وحدها (الام العزباء)  وسيبكون ندم على النعيم الذي كانوا فيه.  حلولكم 👇 ,Women empowerment,Against,1,A_Explicit,,,No,1,Negative,1,2020-12-21 12:15:47+00:00,21/12/2020
86,تمكين المرأة في مختلف المجالات ساهم في تحسين بيئة العمل وتنظيم الفعاليات وجودة التعامل مع العملاء والمراجعين .,Women empowerment,Favor,1,,F_Explicit,,No,1,Positive,1,2022-01-21 21:40:59+00:00,21/01/2022
87,الدولة ماضيه في تحقيق رؤيتها التي من أهم أهدافها تمكين المرأة  وفي الوقت ذاته تحتاج للتدرج ومراعاة الظروف العامة ..,Women empowerment,Favor,1,,F_Explicit,,No,1,Neutral,0.8025,2022-02-12 10:56:51+00:00,12/02/2022
88,#عاجل التعليم العالي |  لا عودة عن التعليم الوجاهي للجامعات  ولا صحة لما يتم تداوله عن التحول للتعليم الإلكتروني. #أحمد_يحيى,Digital Transformation,None,0.7334,,,Not clear,No,1,Neutral,1,2021-11-16 16:20:13+00:00,16/11/2021
89, هذا الكلام كان زمان.. أما الآن تغير كل شيء .. مع التحول الإلكتروني والحكومة الإلكترونية.. أصبح ملاحظ في جميع الجهات الحكومية السعي لخدمة المراجع واصبحت تسمى المراجع عميل.. وهذا تحول كبير وجيد للمصلحة العامة.  وقد خصص أقسام خدمة عملاء ..  وهذا بفض,Digital Transformation,Favor,1,,F_Explicit,,No,1,Positive,0.8086,2020-04-04 19:13:57+00:00,04/04/2020
90,مصر كدولة و كحكومة وشعب ماشيين للتحول الرقمي بشكل رهيب 👏🇪🇬  على خطى السعودية في التحول الرقمي و اتمتت جميع خدمات الدولة و المعاملات الحكومية عبر تطبيقات و منصات إلكترونية مثل ابشر و توكلنا و ناجز و صحة ...الخ  يتبع👇 URL,Digital Transformation,Favor,1,,F_Explicit,,No,1,Positive,0.7844,2021-07-25 18:50:31+00:00,25/07/2021
92,رسميًا صرت ملكة حجوزات تطعيم كورونا اتوقع باقي القطوه الي بالشارع م حجزت لها ههه,Covid Vaccine,Favor,0.6172,,F_Explicit,,Yes,0.8121,Neutral,0.8144,2021-04-22 01:16:36+00:00,22/04/2021
93,"الله يرحمه #دعيج_الخليفه_الصباح  موت""الفجأة""بزدياد وهناك من يقول أن له علاقة بتطعيمات #كورونا‼️  وعليه يا المسؤولين توقعوا هذا الاحتمال ولا تجبروا الناس على الجرعة الثالثة""المعزز""‼️  ولا تجبروا الناس على أي تطعيم آخر وتربطوها بالسفر والمول والسينما.. حتى تتم التجارب السريرية‼️",Covid Vaccine,Against,0.8676,A_Explicit,,,No,1,Neutral,0.5272,2021-12-11 10:28:54+00:00,11/12/2021
94,"أول دولة خليجية تلغي كافة إجراءات كورونا.. لا كمامة لا تطعيم لا ""بي سي آر"" URL #جريدة_الرؤية #سلطنة_عمان",Covid Vaccine,None,0.5725,,,Not clear,No,1,Neutral,0.5576,2022-04-28 05:23:29+00:00,28/04/2022
95, والله انا لانجهل ذلك لكن اليوم اصبح حكم القوى على الضعيف هوه المسيطر.عندما تذهب وتريد دفع كاش ويقال لك لااقبل الا الكتروني .وعندما الدوله تلزم المتاجر وغيرها بوجود الدفع الالكتروني فأن التحول سيكون اجباريا .,Digital Transformation,Against,0.7753,A_Explicit,,,No,1,Negative,0.7572,2022-02-06 12:36:31+00:00,06/02/2022
96,#التحول_الإلكتروني_للخدمات_القضائية  نقطة تحول غي منظومة العمل القانوني ؛ ستوفر الكثير من الوقت على المتقاضين والمحامين عامة ؛ وتسرع من وتيرة العمل القضائي في جميع المحاكم العمانية ومحكمة القضاء الإداري .. URL,Digital Transformation,Favor,1,,F_Explicit,,No,1,Positive,1,2020-06-23 14:02:04+00:00,23/06/2020
97, يشهد التحول الالكتروني في المرفق القضائي نقلة نوعية وتطورًا ملموسًا  سواء بالإجراءات وتبسيطها أو إصدار الأنظمة والقرارات واللوائح وتطويرها  أو بتفعيل التقنية وتوظيفها واستثمارها  توفيراً للجهود  وتسهيلاً على المتقاضين  وسرعةً للفصل في المنازعات ,Digital Transformation,Favor,1,,F_Explicit,,No,1,Positive,1,2020-02-13 11:11:22+00:00,13/02/2020
98,صرّح رئيس الإدارة العامة للتخطيط فضيلة القاضي د/يوسف الفليتي بإطلاق حزمة جديدة من برنامج #بوابة_المحامين و #بوابة_المتقاضين وإقرار دليلها الإجرائي  وذلك ضمن جهود مجلس الشؤون الادارية للقضاء لاستكمال منظومة التحول الرقمي ودعم سرعة الإنجاز وتفعيل وتكامل مسار التقاضي الإلكتروني. URL,Digital Transformation,Favor,1,,F_Explicit,,No,1,Neutral,0.8213,2020-06-24 20:21:48+00:00,24/06/2020
99, صرّح رئيس الإدارة العامة للتخطيط فضيلة القاضي د/يوسف الفليتي بإطلاق حزمة جديدة من برنامج #بوابة_المحامين و #بوابة_المتقاضين وإقرار دليلها الإجرائي  وذلك ضمن جهود مجلس الشؤون الادارية للقضاء لاستكمال منظومة التحول الرقمي ودعم سرعة الإنجاز وتفعيل ,Digital Transformation,Favor,0.721,,F_Explicit,,No,1,Neutral,1,2020-06-24 21:34:49+00:00,24/06/2020
